PostCodes,Posttown,GDescription
TN15,Kent,Group 3
TS23,Durham,Group 1
HS3,Eilean Siar,Unallocated
SS99,Greater London,Group 3
TR8,Cornwall,Group 2
IG8,Greater London,Group 3
9,,Unallocated
PO32,Isle of Wight,Group 2
S71,South Yorkshire,Group 1
B9,West Midlands,Group 2
OX10,Oxfordshire,Group 3
PO33,Isle of Wight,Group 2
TF1,Shropshire,Group 2
SG18,Bedfordshire,Group 3
CW11,Cheshire,Group 2
NR11,Norfolk,Group 3
BD3,West Yorkshire,Group 1
S28,South Yorkshire,Group 1
YO19,North Yorkshire,Group 1
KW6,Highland,Unallocated
RM13,Greater London,Group 3
PA62,Argyll and Bute,Group 1
BS22,Somerset,Group 2
BA11,Somerset,Group 2
SN38,Wiltshire,Group 2
IM7,NULL,Unallocated
DN9,Lincolnshire,Group 1
SW12,Greater London,Group 3
DY6,West Midlands,Group 2
LE67,Leicestershire,Group 2
BT92,Fermanagh,Unallocated
S26,South Yorkshire,Group 1
SE25,Greater London,Group 3
RM6,Greater London,Group 3
OL8,Lancashire,Group 1
BT2,Belfast,Unallocated
WR8,Worcestershire,Group 2
EC4A,Greater London,Group 3
G43,Glasgow City,Group 1
NW2,Greater London,Group 3
CH46,Merseyside,Group 2
TS19,Durham,Group 1
IP31,Suffolk,Group 3
CF38,"Rhondda, Cynon, Taff",Group 2
BN22,East Sussex,Group 3
M32,Cheshire,Group 2
DN8,Lincolnshire,Group 1
48,Ards,Unallocated
SK23,Derbyshire,Group 2
TD2,Scottish Borders,Group 1
G37,Glasgow City,Group 1
LU2,Bedfordshire,Group 3
HA3,Greater London,Group 3
SA37,Carmarthenshire,Group 2
CV8,Warwickshire,Group 2
S16,South Yorkshire,Group 1
HA2,Greater London,Group 3
SA71,Pembrokeshire,Group 2
EX39,Devon,Group 2
G40,Glasgow City,Group 1
EC4M,Greater London,Group 3
BT7,Belfast,Unallocated
GU14,Hampshire,Group 2
SR3,Tyne and Wear,Group 1
KY15,Fife,Group 1
RH17,East Sussex,Group 3
AL2,Hertfordshire,Group 2
LL75,Isle of Anglesey,Group 2
NE46,Northumberland,Group 1
PL14,Cornwall,Group 2
EN8,Greater London,Group 3
S49,Derbyshire,Group 1
38,Ards,Unallocated
SA1,Swansea,Group 2
KA4,East Ayrshire,Group 1
EC4P,Greater London,Group 3
KT17,Greater London,Group 2
CM7,Greater London,Group 3
PA31,Argyll and Bute,Group 1
PL12,Cornwall,Group 2
LN1,Lincolnshire,Group 1
NR13,Norfolk,Group 3
54,Ards,Unallocated
GY5,Guernsey,Unallocated
HP3,Hertfordshire,Group 3
BB10,Lancashire,Group 1
PE19,Bedfordshire,Group 1
SY11,Shropshire,Group 2
S97,South Yorkshire,Group 1
GU19,Surrey,Group 2
EC3M,Greater London,Group 3
BS20,Somerset,Group 2
RM4,Greater London,Group 3
B78,Staffordshire,Group 2
NW6,Greater London,Group 3
LL49,Gwynedd,Group 2
TW4,Greater London,Group 3
PO11,Hampshire,Group 2
M99,Greater Manchester,Group 2
TA8,Somerset,Group 2
G29,Glasgow City,Group 1
WA16,Cheshire,Group 2
TR26,Cornwall,Group 2
G48,Glasgow City,Group 1
AL3,Hertfordshire,Group 2
DE11,Derbyshire,Group 1
BT4,Belfast,Unallocated
SL3,Buckinghamshire,Group 2
S45,Derbyshire,Group 1
CF61,The Vale of Glamorgan,Group 2
WN6,Lancashire,Group 2
B12,West Midlands,Group 2
KT14,Surrey,Group 2
BR6,Kent,Group 3
AB38,Moray,Group 1
TA19,Somerset,Group 2
LA9,Cumbria,Group 1
CT21,Kent,Group 3
NR16,Norfolk,Group 3
SO97,Hampshire,Group 2
BN11,West Sussex,Group 3
LL77,Isle of Anglesey,Group 2
LS26,West Yorkshire,Group 1
AB55,Moray,Group 1
WR5,Worcestershire,Group 2
EX15,Devon,Group 2
L31,Lancashire,Group 2
SA36,Pembrokeshire,Group 2
SP4,Wiltshire,Group 2
NP12,Caerphilly,Group 2
PO5,Hampshire,Group 2
PL15,Cornwall,Group 2
DL14,Durham,Group 1
CA7,Cumbria,Group 1
SN11,Wiltshire,Group 2
TN18,Kent,Group 3
IV26,Highland,Group 1
SA15,Carmarthenshire,Group 2
HU19,East Riding of Yorkshire,Group 1
EN13,Greater London,Group 3
N20,Greater London,Group 3
SA72,Pembrokeshire,Group 2
CW6,Cheshire,Group 2
NE9,Tyne and Wear,Group 1
BB94,Lancashire,Group 1
HD6,West Yorkshire,Group 1
PA66,Argyll and Bute,Group 1
DY2,West Midlands,Group 2
SN7,Oxfordshire,Group 2
RH77,West Sussex,Group 3
KA24,North Ayrshire,Group 1
BH21,Dorset,Group 2
IM6,NULL,Unallocated
s15,South Yorkshire,Group 1
DL3,Durham,Group 1
ME19,Kent,Group 3
PA77,Argyll and Bute,Group 1
CR7,Surrey,Group 3
EH22,Scottish Borders,Group 1
YO16,East Riding of Yorkshire,Group 1
SS3,Greater London,Group 3
BA16,Somerset,Group 2
N1P,Greater London,Group 3
BB11,Lancashire,Group 1
G61,East Dunbartonshire,Group 1
DE21,Derbyshire,Group 1
BN14,West Sussex,Group 3
M44,Greater Manchester,Group 2
TS24,Durham,Group 1
NG3,Nottinghamshire,Group 1
HG4,North Yorkshire,Group 1
EH3,City of Edinburgh,Group 1
SA39,Carmarthenshire,Group 2
CT9,Kent,Group 3
IP10,Suffolk,Group 3
EC50,Greater London,Group 3
CH43,Merseyside,Group 2
LS17,North Yorkshire,Group 1
DE6,Derbyshire,Group 1
BN18,West Sussex,Group 3
TF7,Shropshire,Group 2
ME11,Kent,Group 3
BN50,East Sussex,Group 3
LA17,Cumbria,Group 1
PH41,Highland,Group 1
DE13,Staffordshire,Group 1
WF3,West Yorkshire,Group 1
AL1,Hertfordshire,Group 2
HP13,Buckinghamshire,Group 3
TA24,Somerset,Group 2
CT3,Kent,Group 3
G1,Glasgow City,Group 1
B18,West Midlands,Group 2
CF36,Bridgend,Group 2
S20,South Yorkshire,Group 1
EH52,West Lothian,Group 1
BS13,City of Bristol,Group 2
SE26,Greater London,Group 3
BT44,Ballymena,Unallocated
L13,Merseyside,Group 2
IP19,Suffolk,Group 3
BL9,Lancashire,Group 2
GU22,Surrey,Group 2
LL52,Gwynedd,Group 2
TN17,Kent,Group 3
ZE2,Shetland Islands,Unallocated
PA4,Renfrewshire,Group 1
W1S,Greater London,Group 3
PE14,Cambridgeshire,Group 1
EH95,City of Edinburgh,Group 1
LA13,Cumbria,Group 1
BS49,Somerset,Group 2
WA15,Cheshire,Group 2
YO21,North Yorkshire,Group 1
SR9,Tyne and Wear,Group 1
NP25,Herefordshire,Group 2
B29,West Midlands,Group 2
SY24,Ceredigion,Group 2
CA19,Cumbria,Group 1
S4,South Yorkshire,Group 1
HU1,East Riding of Yorkshire,Group 1
PL95,Devon,Group 2
LS27,West Yorkshire,Group 1
SA6,Swansea,Group 2
FK21,Stirling,Group 1
B67,West Midlands,Group 2
PL24,Cornwall,Group 2
GL13,Gloucestershire,Group 2
DN15,Lincolnshire,Group 1
PE29,Cambridgeshire,Group 1
EH18,Midlothian,Group 1
PO38,Isle of Wight,Group 2
DH7,Durham,Group 1
LS98,West Yorkshire,Group 1
PH23,Highland,Group 1
YO17,North Yorkshire,Group 1
DN39,Lincolnshire,Group 1
SA16,Carmarthenshire,Group 2
NE48,Northumberland,Group 1
RM19,Greater London,Group 3
NE40,Tyne and Wear,Group 1
E10,Greater London,Group 3
CA8,Cumbria,Group 1
HG2,North Yorkshire,Group 1
B42,West Midlands,Group 2
EH37,Midlothian,Group 1
WD17,Hertfordshire,Group 3
OX1,Oxfordshire,Group 3
BT6,Castlereagh,Unallocated
CH47,Merseyside,Group 2
LN3,Lincolnshire,Group 1
DD11,Angus,Group 1
TN9,Kent,Group 3
HS2,Eilean Siar,Unallocated
PO6,Hampshire,Group 2
HR1,Herefordshire,Group 2
51,Ards,Unallocated
PH12,Angus,Group 1
HU6,East Riding of Yorkshire,Group 1
IP16,Suffolk,Group 3
SO15,Hampshire,Group 2
DL13,Durham,Group 1
PE25,Lincolnshire,Group 1
CF71,The Vale of Glamorgan,Group 2
NE1,Tyne and Wear,Group 1
HP20,Buckinghamshire,Group 3
BD10,West Yorkshire,Group 1
MK42,Buckinghamshire,Group 3
EX22,Devon,Group 2
SA10,Neath Port Talbot,Group 2
40,Ards,Unallocated
SK2,Cheshire,Group 2
LL17,Denbighshire,Group 2
TN39,East Sussex,Group 3
BT35,Newry and Mourne,Unallocated
CM3,Greater London,Group 3
UB10,Greater London,Group 3
DY1,West Midlands,Group 2
PL9,Devon,Group 2
KT24,Surrey,Group 2
SE11,Greater London,Group 3
CA24,Cumbria,Group 1
MK15,Buckinghamshire,Group 3
IP98,Norfolk,Group 3
BT38,Carrickfergus,Unallocated
G6,Glasgow City,Group 1
SY7,Herefordshire,Group 2
12,Ards,Unallocated
BL3,Lancashire,Group 2
GU15,Surrey,Group 2
B32,West Midlands,Group 2
L29,Merseyside,Group 2
MK44,Buckinghamshire,Group 3
TN10,Kent,Group 3
KA3,East Ayrshire,Group 1
GL3,Gloucestershire,Group 2
CO12,Greater London,Group 3
KA14,North Ayrshire,Group 1
LS18,West Yorkshire,Group 1
KW12,Highland,Unallocated
G13,West Dunbartonshire,Group 1
47,Ards,Unallocated
BD1,West Yorkshire,Group 1
E77,Greater London,Group 3
NE82,Tyne and Wear,Group 1
NG7,Nottinghamshire,Group 1
B97,Worcestershire,Group 2
G65,East Dunbartonshire,Group 1
LN12,Lincolnshire,Group 1
LE13,Leicestershire,Group 2
DA17,Kent,Group 3
WV16,Shropshire,Group 2
BT71,Dungannon,Unallocated
BT81,Strabane,Unallocated
NP44,Torfaen,Group 2
YO32,North Yorkshire,Group 1
TS27,Durham,Group 1
SR7,Durham,Group 1
B99,West Midlands,Group 2
PH10,Perth and Kinross,Group 1
DE3,Derbyshire,Group 1
GY8,Guernsey,Unallocated
LS15,West Yorkshire,Group 1
BT68,Dungannon,Unallocated
CA10,Cumbria,Group 1
TF2,Shropshire,Group 2
N13,Greater London,Group 3
G73,South Lanarkshire,Group 1
WC1A,Greater London,Group 3
G12,Glasgow City,Group 1
SE9,Greater London,Group 3
18,Ards,Unallocated
CF24,Cardiff,Group 2
SK3,Cheshire,Group 2
PH16,Perth and Kinross,Group 1
NE20,Northumberland,Group 1
LL14,Wrexham,Group 2
BH9,Dorset,Group 2
EH48,West Lothian,Group 1
IP30,Suffolk,Group 3
GL4,Gloucestershire,Group 2
LN9,Lincolnshire,Group 1
BD16,West Yorkshire,Group 1
FK11,Clackmannanshire,Group 1
BT41,Antrim,Unallocated
IV25,Highland,Group 1
HD2,West Yorkshire,Group 1
L34,Merseyside,Group 2
WV12,West Midlands,Group 2
HU16,East Riding of Yorkshire,Group 1
HS7,Eilean Siar,Unallocated
ML6,North Lanarkshire,Group 1
CF41,"Rhondda, Cynon, Taff",Group 2
DY11,Worcestershire,Group 2
EH4,City of Edinburgh,Group 1
BA9,Somerset,Group 2
BN16,West Sussex,Group 3
CV23,Warwickshire,Group 2
WV10,Staffordshire,Group 2
BT21,Ards,Unallocated
AB23,Aberdeen City,Group 1
BT3,Belfast,Unallocated
TS16,Durham,Group 1
CA12,Cumbria,Group 1
B20,West Midlands,Group 2
W1T,Greater London,Group 3
20,Ards,Unallocated
PO7,Hampshire,Group 2
NN5,Northamptonshire,Group 2
BD97,West Yorkshire,Group 1
AL10,Hertfordshire,Group 2
NR15,Norfolk,Group 3
WS6,Staffordshire,Group 2
NE11,Tyne and Wear,Group 1
BS21,Somerset,Group 2
LL63,Isle of Anglesey,Group 2
NN14,Northamptonshire,Group 2
SE20,Greater London,Group 3
CH6,Flintshire,Group 2
ME20,Kent,Group 3
SO51,Hampshire,Group 2
28,Ards,Unallocated
HX5,West Yorkshire,Group 1
M34,Greater Manchester,Group 2
BD8,West Yorkshire,Group 1
EC2N,Greater London,Group 3
EH12,City of Edinburgh,Group 1
SM6,Greater London,Group 3
CF11,Cardiff,Group 2
CF37,"Rhondda, Cynon, Taff",Group 2
NR33,Suffolk,Group 3
WA7,Cheshire,Group 2
B76,Warwickshire,Group 2
B45,Worcestershire,Group 2
ME1,Kent,Group 3
NN8,Northamptonshire,Group 2
BT8,Castlereagh,Unallocated
BH16,Dorset,Group 2
LA22,Cumbria,Group 1
LE7,Leicestershire,Group 2
EH29,City of Edinburgh,Group 1
DN6,North Yorkshire,Group 1
RM7,Greater London,Group 3
IV43,Highland,Group 1
RG5,Berkshire,Group 2
102,Aberdeen City,Group 1
WS8,West Midlands,Group 2
B49,Warwickshire,Group 2
B10,West Midlands,Group 2
PH37,Highland,Group 1
KY10,Fife,Group 1
GU11,Hampshire,Group 2
CV3,West Midlands,Group 2
DA1,Kent,Group 3
WA55,Cheshire,Group 2
ME5,Kent,Group 3
DY10,Worcestershire,Group 2
EH30,City of Edinburgh,Group 1
W12,Greater London,Group 3
PA71,Argyll and Bute,Group 1
LL36,Gwynedd,Group 2
BN1,East Sussex,Group 3
FY1,Lancashire,Group 1
L6,Merseyside,Group 2
DA15,Kent,Group 3
WS1,West Midlands,Group 2
IP7,Suffolk,Group 3
WV5,Shropshire,Group 2
B72,West Midlands,Group 2
CF81,Caerphilly,Group 2
PH9,Perth and Kinross,Group 1
PH21,Highland,Group 1
BT22,Ards,Unallocated
BT16,Castlereagh,Unallocated
LS4,West Yorkshire,Group 1
N2,Greater London,Group 3
BD20,North Yorkshire,Group 1
CB21,Cambridgeshire,Group 3
DD4,Dundee City,Group 1
NE99,Tyne and Wear,Group 1
LE11,Leicestershire,Group 2
CA21,Cumbria,Group 1
LU4,Bedfordshire,Group 3
DY4,West Midlands,Group 2
FY5,Lancashire,Group 1
G54,Glasgow City,Group 1
UB8,Buckinghamshire,Group 3
IP2,Suffolk,Group 3
G42,Glasgow City,Group 1
L21,Merseyside,Group 2
AB24,Aberdeen City,Group 1
NG23,Lincolnshire,Group 1
NE47,Northumberland,Group 1
TN27,Kent,Group 3
IV27,Highland,Group 1
S46,South Yorkshire,Group 1
L40,Lancashire,Group 2
EN7,Greater London,Group 3
BN6,East Sussex,Group 3
BT47,Derry City,Unallocated
WR12,Gloucestershire,Group 2
PL20,Devon,Group 2
BL6,Lancashire,Group 2
WR3,Worcestershire,Group 2
S60,South Yorkshire,Group 1
IV4,Highland,Group 1
SE28,Greater London,Group 3
SG2,Hertfordshire,Group 3
SM3,Greater London,Group 3
IG7,Greater London,Group 3
LL32,Conwy,Group 2
M12,Greater Manchester,Group 2
NE33,Tyne and Wear,Group 1
TW14,Greater London,Group 3
FK12,Clackmannanshire,Group 1
IV63,Highland,Group 1
SS14,Greater London,Group 3
DA16,Kent,Group 3
WA13,Cheshire,Group 2
IV24,Highland,Group 1
EH43,Scottish Borders,Group 1
RG19,Berkshire,Group 2
FY7,Lancashire,Group 1
TQ7,Devon,Group 2
KY7,Fife,Group 1
IP1,Suffolk,Group 3
WC1X,Greater London,Group 3
14,Ards,Unallocated
TA15,Somerset,Group 2
B1,West Midlands,Group 2
S5,South Yorkshire,Group 1
DT4,Dorset,Group 2
SL8,Buckinghamshire,Group 2
ST12,Staffordshire,Group 2
DH2,Durham,Group 1
BT94,Fermanagh,Unallocated
WA3,Cheshire,Group 2
WF6,West Yorkshire,Group 1
BT27,Lisburn,Unallocated
PA65,Argyll and Bute,Group 1
LL44,Gwynedd,Group 2
IV11,Highland,Group 1
IP13,Suffolk,Group 3
TR20,Cornwall,Group 2
MK16,Buckinghamshire,Group 3
PL32,Cornwall,Group 2
PE35,Norfolk,Group 1
L30,Merseyside,Group 2
L15,Merseyside,Group 2
LA3,Lancashire,Group 1
PA2,Renfrewshire,Group 1
LS12,West Yorkshire,Group 1
LA21,Cumbria,Group 1
IP15,Suffolk,Group 3
BA3,Somerset,Group 2
19,Ards,Unallocated
BN27,East Sussex,Group 3
OX12,Berkshire,Group 3
BR8,Kent,Group 3
IV5,Highland,Group 1
SK6,Cheshire,Group 2
PE6,Cambridgeshire,Group 1
NE98,Tyne and Wear,Group 1
B21,West Midlands,Group 2
SL95,Berkshire,Group 2
G38,Glasgow City,Group 1
PO41,Isle of Wight,Group 2
TR5,Cornwall,Group 2
B6,West Midlands,Group 2
PL19,Devon,Group 2
S80,Nottinghamshire,Group 1
IV55,Highland,Group 1
CO9,Greater London,Group 3
EC1V,Greater London,Group 3
DT11,Dorset,Group 2
BN26,East Sussex,Group 3
N17,Greater London,Group 3
RG23,Hampshire,Group 2
WC2A,Greater London,Group 3
PO19,West Sussex,Group 2
N19,Greater London,Group 3
BA1,Bath and North East Somerset,Group 2
EX35,Devon,Group 2
TD3,Scottish Borders,Group 1
PE28,Cambridgeshire,Group 1
BT75,Fermanagh,Unallocated
SA67,Pembrokeshire,Group 2
CO11,Greater London,Group 3
G47,Glasgow City,Group 1
SP1,Wiltshire,Group 2
DN1,South Yorkshire,Group 1
W2,Greater London,Group 3
EC4R,Greater London,Group 3
BD12,West Yorkshire,Group 1
LL28,Conwy,Group 2
SN1,Wiltshire,Group 2
NN18,Northamptonshire,Group 2
LN10,Lincolnshire,Group 1
S17,South Yorkshire,Group 1
LL18,Denbighshire,Group 2
CF83,Caerphilly,Group 2
DN3,South Yorkshire,Group 1
EH16,Midlothian,Group 1
EN10,Greater London,Group 3
SS15,Greater London,Group 3
LL74,Isle of Anglesey,Group 2
EN2,Greater London,Group 3
EH8,City of Edinburgh,Group 1
BN45,West Sussex,Group 3
PA21,Argyll and Bute,Group 1
LD3,Powys,Group 2
BT46,Magherafelt,Unallocated
NR18,Norfolk,Group 3
L24,Merseyside,Group 2
NE10,Tyne and Wear,Group 1
LL42,Gwynedd,Group 2
KT9,Surrey,Group 2
SR2,Tyne and Wear,Group 1
NE8,Tyne and Wear,Group 1
NG10,Derbyshire,Group 1
CH99,Cheshire,Group 2
CA17,Cumbria,Group 1
OX27,Buckinghamshire,Group 3
IM4,NULL,Unallocated
SM7,Greater London,Group 3
PE99,Cambridgeshire,Group 1
OX25,Oxfordshire,Group 3
NN12,Northamptonshire,Group 2
EC3A,Greater London,Group 3
LA11,Cumbria,Group 1
PH24,Highland,Group 1
LL68,Isle of Anglesey,Group 2
M90,Greater Manchester,Group 2
BD9,West Yorkshire,Group 1
PE30,Norfolk,Group 1
AL6,Hertfordshire,Group 2
DE56,Derbyshire,Group 1
WF7,West Yorkshire,Group 1
KW8,Highland,Unallocated
DE5,Derbyshire,Group 1
CT13,Kent,Group 3
CM23,Greater London,Group 3
L74,Merseyside,Group 2
PA33,Argyll and Bute,Group 1
LS7,West Yorkshire,Group 1
M6,Greater Manchester,Group 2
TN6,East Sussex,Group 3
SE4,Greater London,Group 3
IV28,Highland,Group 1
KA22,North Ayrshire,Group 1
L72,Merseyside,Group 2
E11,Greater London,Group 3
GU8,Surrey,Group 2
SL60,Berkshire,Group 2
BS25,Somerset,Group 2
SY2,Shropshire,Group 2
PH7,Perth and Kinross,Group 1
SO31,Hampshire,Group 2
BH6,Dorset,Group 2
IP5,Suffolk,Group 3
OX5,Oxfordshire,Group 3
CF23,Cardiff,Group 2
TR9,Cornwall,Group 2
SW17,Greater London,Group 3
WF1,West Yorkshire,Group 1
TF12,Shropshire,Group 2
AB36,Aberdeenshire,Group 1
B15,West Midlands,Group 2
e81,Greater London,Group 3
BB6,Lancashire,Group 1
DG9,Dumfries and Galloway,Group 1
GL54,Gloucestershire,Group 2
PA26,Argyll and Bute,Group 1
EH42,East Lothian,Group 1
B47,Worcestershire,Group 2
IP29,Suffolk,Group 3
WN1,Lancashire,Group 2
NR23,Norfolk,Group 3
BD21,West Yorkshire,Group 1
PH35,Highland,Group 1
CA16,Cumbria,Group 1
G56,Glasgow City,Group 1
S2,South Yorkshire,Group 1
DG5,Dumfries and Galloway,Group 1
BT13,Belfast,Unallocated
SS12,Greater London,Group 3
M17,Cheshire,Group 2
G59,Glasgow City,Group 1
EH2,City of Edinburgh,Group 1
TA3,Somerset,Group 2
DA9,Kent,Group 3
CO15,Greater London,Group 3
BS16,City of Bristol,Group 2
ML3,South Lanarkshire,Group 1
GU2,Surrey,Group 2
DN40,South Yorkshire,Group 1
CO3,Greater London,Group 3
PH39,Highland,Group 1
NW5,Greater London,Group 3
G34,Glasgow City,Group 1
ST11,Staffordshire,Group 2
S30,South Yorkshire,Group 1
PA48,Argyll and Bute,Group 1
GU30,Hampshire,Group 2
YO23,North Yorkshire,Group 1
E3,Greater London,Group 3
DY14,Shropshire,Group 2
CH33,Merseyside,Group 2
G90,Glasgow City,Group 1
IP32,Suffolk,Group 3
DN10,Lincolnshire,Group 1
NG24,Nottinghamshire,Group 1
W1F,Greater London,Group 3
YO7,North Yorkshire,Group 1
LL11,Wrexham,Group 2
LL71,Isle of Anglesey,Group 2
PE1,Cambridgeshire,Group 1
PH50,Highland,Group 1
PL30,Cornwall,Group 2
SE10,Greater London,Group 3
BA8,Somerset,Group 2
YO30,North Yorkshire,Group 1
SA5,Swansea,Group 2
SO21,Hampshire,Group 2
M31,Cheshire,Group 2
WF17,West Yorkshire,Group 1
B8,West Midlands,Group 2
SO19,Hampshire,Group 2
LA6,Cumbria,Group 1
WN7,Lancashire,Group 2
HD5,West Yorkshire,Group 1
CV4,West Midlands,Group 2
BS9,City of Bristol,Group 2
B35,West Midlands,Group 2
LE21,Leicestershire,Group 2
KW10,Highland,Unallocated
L9,Merseyside,Group 2
BT12,Belfast,Unallocated
PA12,Renfrewshire,Group 1
G76,Glasgow City,Group 1
S10,South Yorkshire,Group 1
TR7,Cornwall,Group 2
CF15,Cardiff,Group 2
TN35,East Sussex,Group 3
B73,West Midlands,Group 2
S74,South Yorkshire,Group 1
YO10,North Yorkshire,Group 1
KA19,South Ayrshire,Group 1
PR6,Lancashire,Group 1
E16,Greater London,Group 3
FK13,Clackmannanshire,Group 1
NW11,Greater London,Group 3
PA11,Renfrewshire,Group 1
SA61,Pembrokeshire,Group 2
HX6,West Yorkshire,Group 1
SN6,Oxfordshire,Group 2
WC1V,Greater London,Group 3
FK17,Stirling,Group 1
CH2,Cheshire,Group 2
IV41,Highland,Group 1
WV1,West Midlands,Group 2
RG1,Berkshire,Group 2
BT37,Newtownabbey,Unallocated
PE34,Norfolk,Group 1
E2,Greater London,Group 3
ME6,Kent,Group 3
LS25,North Yorkshire,Group 1
LL26,Conwy,Group 2
CT6,Kent,Group 3
CM5,Greater London,Group 3
KA29,North Ayrshire,Group 1
NE67,Northumberland,Group 1
SO20,Hampshire,Group 2
HU14,East Riding of Yorkshire,Group 1
SY1,Shropshire,Group 2
KW15,Orkney Islands,Unallocated
YO41,East Riding of Yorkshire,Group 1
HP17,Buckinghamshire,Group 3
FK3,Falkirk,Group 1
CV10,Leicestershire,Group 2
IG1,Greater London,Group 3
GL9,Gloucestershire,Group 2
G14,Glasgow City,Group 1
LA18,Cumbria,Group 1
DY12,Worcestershire,Group 2
EC3P,Greater London,Group 3
SW20,Greater London,Group 3
PH42,Highland,Group 1
PH19,Highland,Group 1
GU46,Hampshire,Group 2
KA5,East Ayrshire,Group 1
KT5,Greater London,Group 2
WF11,North Yorkshire,Group 1
IV42,Highland,Group 1
EH53,West Lothian,Group 1
KA21,North Ayrshire,Group 1
S9,South Yorkshire,Group 1
L20,Merseyside,Group 2
HU4,East Riding of Yorkshire,Group 1
IP17,Suffolk,Group 3
IP11,Suffolk,Group 3
PO2,Hampshire,Group 2
SA19,Carmarthenshire,Group 2
YO62,North Yorkshire,Group 1
IG6,Greater London,Group 3
NW9,Greater London,Group 3
B43,West Midlands,Group 2
W1U,Greater London,Group 3
MK3,Buckinghamshire,Group 3
MK40,Buckinghamshire,Group 3
G72,South Lanarkshire,Group 1
DL11,Durham,Group 1
EC3V,Greater London,Group 3
NE30,Tyne and Wear,Group 1
PE16,Cambridgeshire,Group 1
G63,Stirling,Group 1
BD6,West Yorkshire,Group 1
EX16,Devon,Group 2
M15,Greater Manchester,Group 2
B23,West Midlands,Group 2
TA12,Somerset,Group 2
PA13,Renfrewshire,Group 1
TW15 3PP ,Surrey,Group 3
PL26,Cornwall,Group 2
BB3,Lancashire,Group 1
HD1,West Yorkshire,Group 1
DG12,Dumfries and Galloway,Group 1
TN36,East Sussex,Group 3
WA6,Cheshire,Group 2
NE28,Tyne and Wear,Group 1
NP13,Blaenau Gwent,Group 2
WV7,Shropshire,Group 2
KW7,Highland,Unallocated
LL70,Isle of Anglesey,Group 2
HR6,Herefordshire,Group 2
CF10,Cardiff,Group 2
NP11,Blaenau Gwent,Group 2
IV15,Highland,Group 1
CV47,Warwickshire,Group 2
PE32,Norfolk,Group 1
IP33,Suffolk,Group 3
G68,Glasgow City,Group 1
B26,West Midlands,Group 2
SE7,Greater London,Group 3
G75,South Lanarkshire,Group 1
B66,West Midlands,Group 2
W1C,Greater London,Group 3
L1,Merseyside,Group 2
TR4,Cornwall,Group 2
44,Ards,Unallocated
BS14,City of Bristol,Group 2
WR11,Gloucestershire,Group 2
PO16,Hampshire,Group 2
CF82,Caerphilly,Group 2
BT32,Banbridge,Unallocated
EN6,Greater London,Group 3
S40,Derbyshire,Group 1
TW7,Greater London,Group 3
NG5,Nottinghamshire,Group 1
KY3,Fife,Group 1
NW4,Greater London,Group 3
SY6,Shropshire,Group 2
WV14,West Midlands,Group 2
TW18,Surrey,Group 3
SA64,Pembrokeshire,Group 2
HG3,North Yorkshire,Group 1
NR32,Suffolk,Group 3
NE61,Northumberland,Group 1
G51,Renfrewshire,Group 1
CF34,Bridgend,Group 2
B70,West Midlands,Group 2
BT56,Coleraine,Unallocated
YO91,North Yorkshire,Group 1
PL31,Cornwall,Group 2
CF40,"Rhondda, Cynon, Taff",Group 2
DD7,Angus,Group 1
GU5,Surrey,Group 2
LL55,Gwynedd,Group 2
BB2,Lancashire,Group 1
DA3,Kent,Group 3
HP21,Buckinghamshire,Group 3
LE55,Leicestershire,Group 2
RH12,West Sussex,Group 3
HR7,Herefordshire,Group 2
KY9,Fife,Group 1
ba,,Unallocated
DA2,Kent,Group 3
PA27,Argyll and Bute,Group 1
SW1A,Greater London,Group 3
BT5,Castlereagh,Unallocated
BT66,Craigavon,Unallocated
CM14,Greater London,Group 3
RG21,Hampshire,Group 2
SS7,Greater London,Group 3
TS22,Durham,Group 1
SS9,Greater London,Group 3
OL4,Lancashire,Group 1
S36,South Yorkshire,Group 1
BL8,Lancashire,Group 2
G4,Glasgow City,Group 1
EC2V,Greater London,Group 3
PH31,Highland,Group 1
TR19,Cornwall,Group 2
G78,Glasgow City,Group 1
ME99,Kent,Group 3
G3,Glasgow City,Group 1
HP6,Buckinghamshire,Group 3
RG25,Hampshire,Group 2
CM0,Greater London,Group 3
CA95,Cumbria,Group 1
AB34,Aberdeenshire,Group 1
PL13,Cornwall,Group 2
HU20,East Riding of Yorkshire,Group 1
M60,Greater Manchester,Group 2
IV20,Highland,Group 1
SA46,Ceredigion,Group 2
DD1,Dundee City,Group 1
YO42,East Riding of Yorkshire,Group 1
46,Ards,Unallocated
YO95,East Riding of Yorkshire,Group 1
ME15,Kent,Group 3
CW12,Cheshire,Group 2
IV9,Highland,Group 1
EX32,Devon,Group 2
e20,Greater London,Group 3
CH49,Merseyside,Group 2
KT1,Greater London,Group 2
KW5,Highland,Unallocated
ME7,Kent,Group 3
DN7,South Yorkshire,Group 1
NE37,Tyne and Wear,Group 1
NR31,Norfolk,Group 3
BH25,Hampshire,Group 2
GU24,Surrey,Group 2
SW3,Greater London,Group 3
RM15,Greater London,Group 3
LA4,Lancashire,Group 1
S58,South Yorkshire,Group 1
BT80,Cookstown,Unallocated
202,Aberdeen City,Group 1
WS10,West Midlands,Group 2
BN12,West Sussex,Group 3
ST5,Staffordshire,Group 2
GL56,Gloucestershire,Group 2
EX3,Devon,Group 2
SE1P,Greater London,Group 3
