PostCodes,Posttown,GDescription
LE12,Leicestershire,Group 2
G77,Glasgow City,Group 1
CM16,Greater London,Group 3
PO13,Hampshire,Group 2
E15,Greater London,Group 3
MK77,Buckinghamshire,Group 3
MK7,Buckinghamshire,Group 3
SA40,Carmarthenshire,Group 2
FY4,Lancashire,Group 1
DE45,Derbyshire,Group 1
L35,Merseyside,Group 2
PE4,Cambridgeshire,Group 1
BR7,Kent,Group 3
PA67,Argyll and Bute,Group 1
SA73,Pembrokeshire,Group 2
TR15,Cornwall,Group 2
TS2,Durham,Group 1
DE24,Derbyshire,Group 1
CF42,"Rhondda, Cynon, Taff",Group 2
S50,South Yorkshire,Group 1
M24,Greater Manchester,Group 2
NP15,Monmouthshire,Group 2
E7,Greater London,Group 3
S32,Derbyshire,Group 1
BD2,West Yorkshire,Group 1
PE33,Norfolk,Group 1
SO52,Hampshire,Group 2
IV17,Highland,Group 1
EX31,Devon,Group 2
SW1P,Greater London,Group 3
DN31,Lincolnshire,Group 1
LS88,West Yorkshire,Group 1
G60,West Dunbartonshire,Group 1
TN37,East Sussex,Group 3
NG1,Nottinghamshire,Group 1
TF8,Shropshire,Group 2
LU7,Bedfordshire,Group 3
EN3,Greater London,Group 3
SW11,Greater London,Group 3
NP20,Newport,Group 2
SG19,Cambridgeshire,Group 3
DY23,Worcestershire,Group 2
UB1,Greater London,Group 3
SW1H,Greater London,Group 3
BS23,Somerset,Group 2
DH98,Tyne and Wear,Group 1
NN1,Northamptonshire,Group 2
LL76,Isle of Anglesey,Group 2
PH11,Angus,Group 1
NW8,Greater London,Group 3
G44,Glasgow City,Group 1
WS14,Staffordshire,Group 2
G10,Glasgow City,Group 1
BT14,Belfast,Unallocated
TR11,Cornwall,Group 2
S68,South Yorkshire,Group 1
CB3,Cambridgeshire,Group 3
RG2,Berkshire,Group 2
RG8,Berkshire,Group 2
ST3,Staffordshire,Group 2
PH34,Highland,Group 1
G39,Glasgow City,Group 1
M45,Lancashire,Group 2
NE3,Tyne and Wear,Group 1
OX15,Oxfordshire,Group 3
CF43,"Rhondda, Cynon, Taff",Group 2
RG40,Berkshire,Group 2
TN4,Kent,Group 3
BH1,Dorset,Group 2
DN20,Lincolnshire,Group 1
SM5,Greater London,Group 3
CH30,Merseyside,Group 2
CH29,Merseyside,Group 2
MK6,Buckinghamshire,Group 3
SK7,Cheshire,Group 2
BT1,Belfast,Unallocated
CW7,Cheshire,Group 2
TF4,Shropshire,Group 2
BN44,West Sussex,Group 3
CF62,Cardiff,Group 2
BT54,Moyle,Unallocated
UB11,Greater London,Group 3
DG4,Dumfries and Galloway,Group 1
BT76,Dungannon,Unallocated
TS9,North Yorkshire,Group 1
WS13,Staffordshire,Group 2
SG5,Bedfordshire,Group 3
GU21,Surrey,Group 2
34,Ards,Unallocated
CB23,Cambridgeshire,Group 3
AL20,Hertfordshire,Group 2
SS8,Greater London,Group 3
SY10,Shropshire,Group 2
CA2,Cumbria,Group 1
NE34,Tyne and Wear,Group 1
PE20,Lincolnshire,Group 1
la,,Group 1
SY19,Powys,Group 2
PO14,Hampshire,Group 2
CV33,Warwickshire,Group 2
PL25,Cornwall,Group 2
DA10,Kent,Group 3
RG9,Buckinghamshire,Group 2
NE13,Tyne and Wear,Group 1
CT50,Kent,Group 3
CA22,Cumbria,Group 1
L27,Merseyside,Group 2
PL6,Devon,Group 2
TQ13,Devon,Group 2
MK17,Buckinghamshire,Group 3
SS6,Greater London,Group 3
YO60,North Yorkshire,Group 1
KW3,Highland,Unallocated
